0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
_fißt,ffzt_,fezt,fsst,fizt_,fißt_,visit,fesat,faßt_,fset,fißt,fezte,fsstö,fsoot,fasst,faßt,fsst_,fuußt,ffsat,vas-t,fz't,_fsst,fizt,ffzt,fizte,fsat,ffset,fzt_,,,,,,,,,,,,
ligeb,locip,hlgeb,lekop,lagba,hlkop,hlagb,lgebo,llgeb,lgeb,_lokp,lkop,lagb,lekap,lokp,l-kop,,,,,,,,,,,,,,,,,,,,,,,,
ohos,ehis,ehies,ehüß_,ehüss,ehuus,ehüüs,ehoz_,_ehes,ohös,eehüs,ehüs,ehoz,ehaus,ehüs_,ehüse,ehes,ohoss,üehis,ehys,ehüß,ahez,iehüs,ahiso,iheis,ohes,ahis,,,,,,,,,,,,,
eltku,altki,altkü,eldec,iltig,eldk,eldka,eldoc,_altk,üldig,eltg,oltke,aldkö,oldk,eltg',aldk,aldg,uldeg,uldig,eldok,eldg,eltk,uldek,oldic,eldg’,aldge,àltig,ildic,altig,oldig,oltk,ältig,uldic,altk,eltg’,aldig,,,,
rnier,rnäch,rnièr,rener,rnher,rnach,rner_,rinr,rnur,rneri,rnere,rnarr,re-nr,rinre,_rnr_,rnähr,riner,rnr_,_rnr,rnoch,rnure,ronro,ronr,rnar,rner,rneur,rnery,,,,,,,,,,,,,
slara,slier,sloch,slaar,selr,soler,slehr,slar,ssler,ßlier,saler,sler_,slach,selro,sler,sallr,,,,,,,,,,,,,,,,,,,,,,,,
sezit,szyt,szetü,setzt,szet,szejt,szitt,szit,sitzt,szytt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
däubs,dobs_,tebàs,daöbs,typis,tebs,daubs,t-bes,dabez,dobs,db'si,tepas,tabs,dibüs,tapez,typus,dpos,tepes,täubs,diebs,dbsi,depes,htabs,debaß,tibüs,htbis,db's,tbis,,,,,,,,,,,,
grach,crire,grar,ker-r,kräch,gerer,krier,gérér,crier,gruir,grari,crir,croir,krach,,,,,,,,,,,,,,,,,,,,,,,,,,
uhnsf,onsaw,ensfa,ionsf,onsfæ,onsf,ensv,insv,annsf,ensf,ensve,ansf,ansfa,insve,ohnsf,einsv,,,,,,,,,,,,,,,,,,,,,,,,
_bürj,barje,_birj,_burj,brega,brige,bürje,birj_,bröje,prüge,burje,proje,burrj,burj_,birj,birje,barj,bürj,berrj,berj,preje,berje,brigi,parrj,berj_,burj,brago,briga,_berj,burja,,,,,,,,,,
opfg,opfki,opfk,upfka,upfk,opfge,opfkä,apfeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inthu,ynth,enth,undh,annth,_andh,indhu,indh,ündhä,inthe,_anth,einth,_enth,enthü,andha,andhü,eindh,undhä,ündhe,aneth,inth,ynthe,enthe,indhe,yntha,entho,andh,ündha,ündh,entha,anthe,andhu,undhe,anthu,anth,undha,,,,
rkab,ragb,rkupp,rekab,rgabe,rikb,rcep,rkab_,rkapp,rgeb,rgäbe,reckb,rgep,recep,rgib_,ragba,récep,rgib,ruckb,'rkup,rgeba,rgebe,rkeb,rgieb,rigb,reckp,rgäb,rkeba,rkop,rikba,rgab,rgibb,rikp,rkup,,,,,,
ehab,eheb,öhep,ehobe,ehaup,ehebu,ehebb,öhepu,ehüp,ehoip,ehaüp,ehob,ehaap,_eheb,ehopp,ehop,,,,,,,,,,,,,,,,,,,,,,,,
ritaw,rtwö,rdewu,rdibu,rantw,radew,rotw,hretw,rdwa_,rohtv,rotwu,rot-w,rte-v,retw,ratw,rdebo,rdew,rdwa,retwi,rootw,rdwi,rteiv,ratwu,rdewo,rotwü,,,,,,,,,,,,,,,
zevad,zwuet,zewid,zwüet,zweit,zewäd,dswat,zweid,zwajt,zebut,zwat,tswit,_zwàt,zewad,zwäit,zwàt,dswet,zwait,,,,,,,,,,,,,,,,,,,,,,
növri,nvere,nwar,nwehr,nwor,nwer,nwär,nebar,nwur,nv‘rr,nwer_,nv’r,nwohr,nv'r,newir,növr,nvor,nawer,nwür,nv‘r,nwir,,,,,,,,,,,,,,,,,,,
ermal,örmli,ärmli,ormal,ürmel,ürmli,ormel,armal,armlo,eruml,ierml,ürmil,ärmel,örml,ermol,ürml,erml,irml,urmel,armol,ermli,ärml,arml,ermil,armlä,irmel,irmli,armel,ermel,,,,,,,,,,,
