mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,ANKM,ankumme; ankæm; ankomme; annekumm; annekumme,ankumma; innigem
Craig,ANSM,änsam; einsame,einsama; einsam
Craig,PFN,pfenni; pfan; pfanni; pfann,pfanne; bewohne; pfänni; pfün; pfennig
Craig,XTRNK,sträng; strengen; strengi; strenge,streng; strang; störung
Craig,YLS,jules; jaluse; jolies,jalouse; jalouser
Craig,MSS,muess-es; moses; muess-ess,mues-es; mües-es; müsss
Craig,ARFR,arrewiere; arriver; arriwiere; erfahren; erüewer; aurevoir; erfraie; erfuhr; eruewer; erüwer,erfahre; erfahra; erfahr; arriviere; eierfraui; erfreie; erowere
Craig,PRNKN,bringen; bring'ne,bring-ne; bringe-n
Craig,SNXT,sunst; sonst; sonnichti; sunnestich; sunschtig,sunscht; sonscht; suncht
Craig,FRP,verbej; verbie; farbe; v'rbie; verbey; vorbeij,farb; verbi; frapper; vorbi; verbei; vorbei
Craig,AFTL,infädle; öffentli,ifàdle; oeffentli; öffentlig
Craig,HNK,henke; hinger; hinge; hänge; hanke; hange; henk; hang; hænge; häng; hanker; hinke,hunger; hànke; hänke; hunig; hänk; henker; hingah; hank; hung; honig
Craig,RXTK,richtig; richtige; richtigen; roschtige,rechtig; richtiga
Craig,PNT,bund; beniede; bindt; bande; bind; pont; 'binde; bänd; bind’; buendig; benied,band; bindig; binde; bunda; bunde; point; bunt
Craig,PTS,poz; biz; potz; bêtes; butze; b'hüetes; petiss; butz; b'huetes; beetze; bhüetes; bitz; pauz,putze; bitzi; bizi; pots; batze; bazer; patis; putzer; putzich; patissier
Craig,KTNKT,gedenkt; gedunkt,gedänkt; gedankt
Craig,VRLXT,verlicht; verlycht; vrlicht; verlustig,verlust; vrluscht
Craig,LKS,lohkäs; leigs; lachs; legis; lex; lux,läigs; laigs; laxier; logis
Craig,VRKF,verkaufe; vergaffe; v'rkaufe; verkauf; vergeffe; verkäufe,verkaüfe; verkaafe
Craig,RH,ruhe; ruehig; ruehi; reihen; ruehij,riehig; rüehig; rühe; rühig; reihe; raehe; roiha; rüehe; rüha; ruhig
Craig,AYXPLK,aeujesblick; auejesblick,aügesblick; aujesblick
Craig,KLRT,gelehrt; gelacht; gelehrter; gelehrte; glehrdi; gählrote; gaillard; gelehrde; gelehrdi; gelert; glüürt; klärt; küllert; gelächter,glehrt; g'lehrter; glacht; g'lehrt; g'lacht; g'lehrte; g’lacht; glaarti
Craig,FRMT,fremdi; fremder; framde; frommt; vermide; vermüdt; vermuet; vermute; fremde,fremd; vermeide; fremden
Craig,XRKLX,schrecklich; schrecklichs; schreklich,schrecklichi; schrecklicha
Craig,AFNT,avant; offenheit,avent; ifinde; infinde; öffnet
Craig,NR,nooch; nurr; noch; nach; n'r; neuer; nurre; norr; nuer; narr; niere; nir; nür; ’ner; n‘r; nääche; näch; nähre; nare; nn’r; nor; n’r,nur; nr; narre; nàcher; nàiere; nere; nàche; nache; näche; nacher; nächer; naire; narra; neüer; nuere; ner; nüer
Craig,AFN,affin; yvonne; affın; offene; öffnen; offen; avion; ewene; oeffnen; uff'ne; uff’ne; uffe-n; enfin,ufnàh; oeffne; ofen; üffener; ufno
Craig,MM,mamme; mym; mame; même; mhm; mimm; miem; m-m; memme; meme,mim; mama; mamaa; memma; mime; mam
Craig,FMS,famosi; viehmassi; famos,famose; famoser; fames; famosa
Craig,PLTK,beleidige; politik; bluetig; beläidig; beleidigen; bluetige,blüetig; beleidiga; blüetiga; blüetigi; bülldogg
Craig,NTRLX,nadierlich; natürlich; natierlich; nadirlich; nädierlich,natirlich; niadierlich
Craig,ANSRM,unserm; ünserm; unseraam; unsereim; ünserem; unsrem,unserem; uns'rem
Craig,KXFTLX,g'schäftliche; geschäftlicher; gschäftliche; gschäftlichs,gschäftelich; gschäftlich; geschäftlich
Craig,TPL,dippele; däpple; dibbele; dippel; dippeler; doppel; tabelle; table; type-là,diable; tableau; dubel
Craig,KST,gsaat; g'saat; g’saat; g'säit; g'sait; gsaöt; gsat; g’saijt; g’steh; g’uuzt; gaißt; gehst; gsääjt; gsäjt; kassate; kassaten; küsst,g'sàit; gsait; g'steh; g’säit; gsäit; gsàit; g’sait; g’seht; g'hasst; g’sieht; g’sotte; gesait; gseit
Craig,RNTSVS,rendezvous; randswies,rendez-vous; rendes-vous
Craig,PRM,brummer; brumme; breme; bremer; bremen,pürem; premier; brummig; büremej; prima
Craig,RTN,reden; rentner,ratten; redner
Craig,PL,ball; bal; blie; paul; bööl; belle; bleij; blej; balle; bello; bly’; blyeh; beijle; blöuj; bläich; bahle; bleu; pelle; bäll; beeilen; beläi; belaoue; bill; billi; blaue; bleue; blöi; blöij; bluer; bly; boli; böller; buhlen; plag; plooj; poil; bli; blöj,bol; boll; bleich; blaü; billig; baüele; bàll; bla; bil; bile; blàie; blaüe; blaüer; blü; büel; plä; poilu; plöj
Craig,FRHR,vorhere; früher; früheren; froher; vorher; verharre; verhöre,frieiher; vorhar; frieher; friahare; friahere; friehera; verhör; verhöra
Craig,TRKT,direkter; direkt; drecket; drucketer; trucket; direckt; directer; dirrekt; dracketer; drackiter; dräigte; dreckete; drecketi; drucketi; drückt; tragédie; trügt; trägt,druckt; diràcter; drucket; dracket; dräcket; traegt; trucketi
Craig,XVRTS,schwarzi; schwärzer; schwarzer,schwarze; schwarz; schwarza; schwärze; schwarzen
Craig,RNXT,reinscht; raanschte; ränscht; ranschte,reinschte; reinste
Craig,VNS,viens; wenns; venus; vunaase; wannse,voyons; venüs; vun-ase; wanns; wennisag
Craig,XTRK,starik; storik; stäriker; stariker; starki; strecke; starike; stärk; streik; streike; strieke; strikke; stärke,stark; stärker; strick; stricke; starick; stärka; starker
Craig,ARX,arich; ursch; arisch; arche,arrich; erschien; irrsch; erreicha; erreiche; ersch
Craig,SRK,sorgen; sorig; sehracke,zruck; sorge; sorga; sarge; sorg
Craig,PRTR,brueder; brüder; bruder; bräder; partir; porter,brüeder; brodiere; brieder; bratter; brüèder; breiter; parterre
Craig,KKLPT,geglaubt; geglaabt; geglöbt,gegläubt; geglauibt; gegloibt; gekläbt
Craig,FRST,fresst; frißt,frisst; verrisst; versieht
Craig,FRKT,verruckt; fricot; verruckti; verruckte; v'rruckt; vorigt; fragt; frägt; fragte; verruekt; verrukt; veruckt; vierecket; viereckete; vorigte; verreckt,frogt; vorgeht; verrückt; froget; vergeht
Craig,APTS,abbutz; epizier; oobutze,abzieh; abbutze; abze
Craig,PKMT,bekummt; bekämt,bekàmte; bekàmt; bekämte; bekommt; bekumt
Craig,ARS,erüs; erus; ihres; arroser; aris; aurez; erüess; erz,erüss; ers; arras; erüß; eruß; ihrs
