0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
losst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_,arme,ihrem,_arm,_arme,erem_,ermö,erem,orum_,orum,arme_,_arm_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_üsz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_zwei,_zwe,_zwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entli,endli,andl,indel,entl,andel,endl,_endl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tung,ding,_dank,dunke,danke,dank,dunk,_ding,htung,ding_,tung_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wach,vorig,war_,wuch,ware_,_war,wore,wuche,woru,wer_,wier,_wir,vor_,_vori,wiere,_wohr,_ware,wohr_,_vor_,_woru,vori,_war_,_wor,_wer_,wohr,_vor,hwör,ware,_wuch,wore_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_char,schri,_chr,_chri,schar,schre,char,chri,_schr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
umpi,umpie,ambo,ambe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nna_,_nie,nig_,_ne_,nuej_,_nei,_nei_,_nu_,_näi,_nie_,nüe_,hne_,nie_,nuej,_-n-,nei_,nier,_no_,_-n-_,-n-_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verla,verlo,verle,verl,_verl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garn,garn_,gern_,gern,_garn,_gern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ndre_,nter_,nter,nder,natir,ntier,ndre,nder_,ndere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_fin,_fen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ols_,alles,_also,also_,_elsa,_elis,elsa,also,_els,elis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_bro,büech,bber_,pier,_pre,_brüe,_pra,_bri,brie,_brü,_brie,_paar,pare,_por,hber,bber,bar_,brüe,ber_,paar_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uenz,eins_,ins_,iens_,ons_,uenz_,_eins,einz,ens_,enz_,_ins,_einz,iens,eins,_ans,_ins_,enns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fallt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bsch_,b'sch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nft_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ane_,enüe,enuej,aine_,_ine,ihna,öne_,enig,oine_,eine_,ohne_,one_,_ohne,_ane,ina_,änne_,_ihne,_ene,_äin,_ine_,iene,änne,üen_,_ihn_,änn_,ihn_,enier,unne,ien_,ihne,_in_,inn_,enn_,einer,unne_,ohne,ihne_,_ane_,enüe_,iner_,ine_,eine,äin_,ahne_,enig_,_ene_,_ein,ahne,aner_,_ihn,ann-,oine,_en_,_un_,enie,ene_,iene_,_ohn,,,,,,,,,,,,,,,,,,,,,,,,,
nter_,nter,natt,hnt_,_not,nnt_,_nati,nda_,nte_,ntoi,_nut,ntier,nder_,_nat,_nitt,not_,ntie,net_,nitt_,_nit,nde_,_natt,nitt,nati,nder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rink,ring,rank,rang,rinke,ranke,ringe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_heb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ennt_,under,ohnt_,onet_,ehnt,annt_,unte_,unte,ande,_anto,unnt,ohnt,ännt,_end,unde,annt,ante,inte_,ander,unnt_,_and,anda,inde_,ind_,unde_,inte,_unte,ennt,onet,eint,_and_,int_,ännt_,_unt,_ande,enti,ante_,inde,ehnt_,antoi,_ant,anto,eint_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irkl,irkli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_mim,mim_,_mim_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erste,erst_,ersta,_erst,erst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dieb_,dieb,_dieb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_wund,wind_,hwind,wohnt,wunde,wind,wand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_kasc,geisc,kasc,_g'sc,g'sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_erw,orwe_,erwe_,erwi,erwe,orwe,erwa,_erwa,arwe,ervo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zehn,_zahn,zahn,zehne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hrer,rieh,rig_,_rie,hre_,rer_,'hiro,'hir,rei_,hrer_,reie_,reie,_rüeh,_rich,roh_,riei,_rüe,rüeh,'hör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tige_,htig,_tag,tüec,thig,tig_,_tag_,_doc,teck,tock,_toc,deck,htig_,tag_,dig_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
